2026-07-11 22:00:54 INFO    src.backtest.engine | fvg_scalp: 120 trades, 18 ambiguous bars, 0 forced session-end exits
2026-07-11 22:00:54 INFO    src.validation.walk_forward | grid 28/48 {'min_gap_points': 35.0, 'min_stop_points': 20.0, 'target_r': 1.0, 'expire_minutes': 40, 'entry_mode': 'mid', 'vwap_filter': True, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 120 trades, net $-398
2026-07-11 22:00:57 INFO    src.backtest.engine | fvg_scalp: 147 trades, 24 ambiguous bars, 0 forced session-end exits
2026-07-11 22:00:57 INFO    src.validation.walk_forward | grid 29/48 {'min_gap_points': 35.0, 'min_stop_points': 20.0, 'target_r': 1.5, 'expire_minutes': 20, 'entry_mode': 'mid', 'vwap_filter': False, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 147 trades, net $-814
2026-07-11 22:01:01 INFO    src.backtest.engine | fvg_scalp: 103 trades, 15 ambiguous bars, 0 forced session-end exits
2026-07-11 22:01:01 INFO    src.validation.walk_forward | grid 30/48 {'min_gap_points': 35.0, 'min_stop_points': 20.0, 'target_r': 1.5, 'expire_minutes': 20, 'entry_mode': 'mid', 'vwap_filter': True, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 103 trades, net $-734
2026-07-11 22:01:05 INFO    src.backtest.engine | fvg_scalp: 169 trades, 25 ambiguous bars, 0 forced session-end exits
2026-07-11 22:01:05 INFO    src.validation.walk_forward | grid 31/48 {'min_gap_points': 35.0, 'min_stop_points': 20.0, 'target_r': 1.5, 'expire_minutes': 40, 'entry_mode': 'mid', 'vwap_filter': False, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 169 trades, net $-865
2026-07-11 22:01:09 INFO    src.backtest.engine | fvg_scalp: 120 trades, 16 ambiguous bars, 0 forced session-end exits
2026-07-11 22:01:09 INFO    src.validation.walk_forward | grid 32/48 {'min_gap_points': 35.0, 'min_stop_points': 20.0, 'target_r': 1.5, 'expire_minutes': 40, 'entry_mode': 'mid', 'vwap_filter': True, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 120 trades, net $-753
2026-07-11 22:01:12 INFO    src.backtest.engine | fvg_scalp: 50 trades, 8 ambiguous bars, 0 forced session-end exits
2026-07-11 22:01:12 INFO    src.validation.walk_forward | grid 33/48 {'min_gap_points': 50.0, 'min_stop_points': 15.0, 'target_r': 1.0, 'expire_minutes': 20, 'entry_mode': 'mid', 'vwap_filter': False, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 50 trades, net $-211
2026-07-11 22:01:16 INFO    src.backtest.engine | fvg_scalp: 37 trades, 6 ambiguous bars, 0 forced session-end exits
2026-07-11 22:01:16 INFO    src.validation.walk_forward | grid 34/48 {'min_gap_points': 50.0, 'min_stop_points': 15.0, 'target_r': 1.0, 'expire_minutes': 20, 'entry_mode': 'mid', 'vwap_filter': True, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 37 trades, net $-546
